;x;y;imb_id;num_voie;cp_no_voie;type_voie;nom_voie;batiment;code_insee;code_poste;nom_com;catg_loc_imb;imb_etat;pm_ref;pm_etat;code_l331;geom_mod;type_imb;date_completude;date_completude_manquante;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status;type_result;closest_address;real_address
2719;55.29947703;-21.10396705;97423ZZ25Z-1;1;;Impasse;DES JASMINS;;97423;97426;Les Trois-Bassins;entre 2 et 11;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;-21.125537;55.302066;Impasse des Lys 97426 Les Trois-Bassins;0.7241644100580269;0.6599526573426573;street;97423_0smjqd;;Impasse des Lys;des Lys;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok;Impasse;{'closest_lat': -21.103958, 'closest_lon': 55.299458, 'distance': 2.21658770525672, 'address': 'Unknown'};{'numero': 62, 'nom_voie': 'Rue Georges Brassens'}
2720;55.29929387;-21.10393812;97423ZZ25Z-3;3;;Impasse;DES JASMINS;;97423;97426;Les Trois-Bassins;entre 2 et 11;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;-21.125537;55.302066;Impasse des Lys 97426 Les Trois-Bassins;0.7241644100580269;0.6599526573426573;street;97423_0smjqd;;Impasse des Lys;des Lys;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok;Impasse;{'closest_lat': -21.104007, 'closest_lon': 55.299314, 'distance': 7.907871468126059, 'address': 'Unknown'};{'numero': 68, 'nom_voie': 'Rue Georges Brassens'}
2721;55.29912112;-21.10399961;97423ZZ25Z-4;4;;Impasse;DES JASMINS;;97423;97426;Les Trois-Bassins;entre 2 et 11;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;-21.125537;55.302066;Impasse des Lys 97426 Les Trois-Bassins;0.7241644100580269;0.6949176923076923;street;97423_0smjqd;;Impasse des Lys;des Lys;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok;Impasse;{'closest_lat': -21.103997, 'closest_lon': 55.299025, 'distance': 9.990876106239671, 'address': 'Unknown'};{'numero': 23, 'nom_voie': 'Allée des Lilas'}
