;x;y;imb_id;num_voie;cp_no_voie;type_voie;nom_voie;batiment;code_insee;code_poste;nom_com;catg_loc_imb;imb_etat;pm_ref;pm_etat;code_l331;geom_mod;type_imb;date_completude;date_completude_manquante;error;error_type
0;55.2953770884051;-21.1022096901464;974230052K-14;14;;Chemin;DES BOUGAINVILLIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;False;
1;55.269899026506;-21.1271521528745;974230027H-7;7;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;False;
2;55.2699439065545;-21.1274326170784;974230027H-8;8;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;False;
3;55.2700338916291;-21.1271444980106;974230027H-9;9;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;False;
4;55.2997739903484;-21.1142581250008;974230028J-1;1;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
5;55.2996449084553;-21.1137329412548;974230028J-15;15;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
6;55.2999569852287;-21.1141967330354;974230028J-3;3;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
7;55.2985390594432;-21.1152935064764;974230028J-43;43;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
8;55.2987528717602;-21.115115002118;974230028J-45;45;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
9;55.298375115182;-21.1153460555445;974230028J-51;51;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
10;55.2982110760702;-21.1153805383841;974230028J-51B;51;B;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
11;55.298104066448;-21.1154788217422;974230028J-53;53;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
12;55.2983280197029;-21.115255257044;974230028J-53A;53;A;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
13;55.2980780675415;-21.1152527467481;974230028J-55;55;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
